,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
375,Pangoa,0,PE,1562888264,78,-12.12,-73.0,70.79,1.7
376,Sorong,85,ID,1562888265,81,-0.86,131.25,78.53,12.26
377,Necochea,100,AR,1562888266,87,-38.55,-58.74,48.99,1.99
378,Mitsamiouli,0,KM,1562888268,77,-11.38,43.28,76.91,19.84
379,Zhangjiakou,38,CN,1562888269,50,40.77,114.88,67.55,5.06
380,Buraydah,0,SA,1562888270,23,26.33,43.97,86.0,10.29
381,Ejura,83,GH,1562888271,87,7.38,-1.37,72.05,2.95
382,Lander,1,US,1562888249,10,42.83,-108.73,96.01,18.34
383,Tsiroanomandidy,2,MG,1562888273,66,-18.77,46.05,58.91,2.01
384,Beyneu,0,KZ,1562888275,27,45.32,55.19,86.63,12.77
385,Whitehorse,75,CA,1562888276,36,60.72,-135.06,77.0,9.17
386,Zelenoborskiy,100,RU,1562888277,76,66.84,32.36,41.27,13.2
387,Abnub,0,EG,1562888278,42,27.27,31.15,80.6,11.41
388,Port-Gentil,20,GA,1562888280,88,-0.72,8.78,77.0,5.82
389,Clearwater,40,US,1562888269,88,27.97,-82.8,82.0,6.93
390,Bartica,20,GY,1562888282,94,6.41,-58.62,78.8,3.53
391,Talnakh,75,RU,1562888283,87,69.49,88.39,50.0,8.95
392,Kazanka,0,UA,1562888284,81,47.83,32.83,53.6,4.47
393,Obo,100,CF,1562888286,96,5.39,26.49,66.83,2.28
394,Rexburg,1,US,1562888287,18,43.82,-111.79,91.4,17.22
395,Shintomi,75,JP,1562888288,65,32.08,131.47,80.6,12.75
396,Oktyabrskiy,75,RU,1562888289,87,55.61,37.97,53.6,4.47
397,Nantucket,1,US,1562888290,93,41.28,-70.1,75.0,10.29
398,Laguna,40,BZ,1562888292,74,16.17,-88.94,86.0,9.17
399,Bonavista,100,CA,1562888264,81,48.65,-53.11,46.99,8.99
400,Mezen,100,RU,1562888294,95,65.85,44.24,38.75,13.89
401,Ferme-Neuve,100,CA,1562888295,95,46.7,-75.45,69.89,5.64
402,Melita,39,CA,1562888296,60,49.27,-100.98,84.99,5.01
403,Muros,75,ES,1562888297,100,42.77,-9.06,69.8,2.24
404,Bonfim,54,GY,1562888299,81,3.36,-59.84,79.25,0.74
405,Terrace Bay,11,CA,1562888300,42,48.78,-87.1,74.39,6.71
406,Ulaangom,100,MN,1562888301,89,49.98,92.07,55.31,10.07
407,Touba,37,SN,1562888302,60,14.86,-15.88,76.37,10.85
408,Komsomolskiy,97,RU,1562888303,94,67.55,63.78,54.77,12.8
409,Puerto Escondido,90,MX,1562888305,74,15.86,-97.07,84.2,4.52
410,Guasdualito,20,VE,1562888306,78,7.24,-70.73,82.4,1.63
411,Mgachi,100,RU,1562888307,93,51.05,142.27,55.31,1.99
412,Thabazimbi,0,ZA,1562888046,48,-24.59,27.41,41.0,4.14
413,Cienfuegos,100,CU,1562888309,74,22.15,-80.44,86.0,4.7
414,Simbahan,100,PH,1562888310,71,6.3,120.58,82.13,4.65
415,Matamoros,1,US,1562888220,56,25.87,-97.51,93.2,12.75
416,Adelanto,1,US,1562888313,11,34.58,-117.41,105.8,8.05
417,Blagoveshchenka,0,RU,1562888314,82,52.83,79.87,54.59,10.98
418,Ishigaki,40,JP,1562888315,84,24.34,124.16,86.0,12.75
419,Jutai,62,BR,1562888316,98,-1.71,-47.89,72.41,2.53
420,Bonthe,100,SL,1562888318,89,7.53,-12.5,76.01,7.4
421,Koboko,100,UG,1562888319,98,3.41,30.96,61.61,0.94
422,Solesti,0,RO,1562888320,71,46.77,27.78,57.99,5.82
423,Poya,2,NC,1562888321,72,-21.35,165.16,70.79,13.49
424,Iquique,90,CL,1562888322,67,-20.22,-70.14,62.6,11.41
425,Shevchenkove,0,UA,1562888323,87,49.7,37.18,55.4,4.47
426,Pitimbu,20,BR,1562888325,88,-7.47,-34.81,75.2,4.7
427,Kenai,90,US,1562888326,87,60.55,-151.26,64.99,5.82
428,Rebrikha,0,RU,1562888327,84,53.08,82.34,55.49,9.71
429,Gat,64,SN,1562888328,78,14.69,-16.54,75.2,6.93
430,Cedar City,1,US,1562888137,12,37.68,-113.06,93.2,10.29
431,Along,100,IN,1562888331,98,28.17,94.8,57.83,1.36
432,Ayan,0,IR,1562888332,47,38.23,44.7,56.57,4.18
433,Palaikastron,0,GR,1562888333,64,35.2,26.25,75.99,15.99
434,Lincoln,1,US,1562888133,48,40.8,-96.67,87.01,5.5
435,Kavali,100,IN,1562888335,58,14.91,79.99,83.39,8.5
436,Hobyo,36,SO,1562888337,74,5.35,48.53,77.45,20.6
437,Hay River,75,CA,1562888338,30,60.82,-115.79,80.6,10.29
438,Manokwari,0,ID,1562888339,72,-0.87,134.08,77.99,2.17
439,Lubango,0,AO,1562888340,60,-14.92,13.49,57.29,1.68
440,Magistralnyy,67,RU,1562888341,63,56.17,107.45,66.65,6.13
441,Kuching,75,MY,1562888343,100,1.56,110.34,75.0,3.36
442,Wenling,85,CN,1562888344,86,28.38,121.38,82.0,0.45
443,Vestmanna,16,FO,1562888345,100,62.16,-7.17,50.0,10.29
444,Plaridel,27,PH,1562888346,77,13.96,122.02,83.75,3.74
445,Uspenka,100,UA,1562888347,68,48.39,39.16,60.53,3.91
446,Egvekinot,0,RU,1562888349,24,66.32,-179.17,78.17,6.35
447,Victoria,75,BN,1562888188,83,5.28,115.24,80.6,2.24
448,Taoudenni,29,ML,1562888351,19,22.68,-3.98,98.15,4.68
449,Maceio,75,BR,1562888297,88,-9.67,-35.74,73.4,2.24
450,Okakarara,0,NA,1562888353,27,-20.59,17.46,50.27,8.01
451,Araouane,4,ML,1562888354,31,18.9,-3.53,93.11,13.69
452,Pervomayskoye,0,RU,1562888356,73,57.07,86.23,55.85,3.02
453,Bellingham,90,US,1562888072,77,48.75,-122.48,75.99,4.7
454,Henties Bay,0,NA,1562888358,96,-22.12,14.28,52.0,1.01
455,Paamiut,48,GL,1562888359,90,61.99,-49.67,43.07,7.09
456,Naze,100,NG,1562888360,97,5.43,7.07,72.05,3.31
457,Port Antonio,20,JM,1562888361,62,18.18,-76.45,86.0,24.16
458,Meulaboh,68,ID,1562888363,80,4.14,96.13,81.77,7.29
459,Cravo Norte,100,CO,1562888364,88,6.3,-70.2,76.37,3.87
460,Trostberg,75,DE,1562888365,100,48.03,12.56,59.0,5.82
461,Luoyang,100,CN,1562888366,72,34.66,112.42,72.95,1.68
462,Bardstown,1,US,1562888367,58,37.81,-85.47,88.0,4.7
463,Diego de Almagro,31,CL,1562888369,90,-26.39,-70.05,42.53,1.19
464,Miyako,75,JP,1562888370,64,33.63,130.94,77.0,11.41
465,Gombe,100,NG,1562888371,90,10.28,11.16,70.07,8.34
466,Puck,0,PL,1562888372,82,54.29,17.87,59.0,4.7
467,Ennis,75,IE,1562888373,87,52.84,-8.98,57.2,11.41
468,Haapiti,75,PF,1562888374,78,-17.57,-149.87,80.6,14.99
469,Leshukonskoye,57,RU,1562888376,98,64.9,45.76,36.59,6.73
470,Sibolga,62,ID,1562888377,79,1.74,98.78,81.41,7.78
471,Snezhnogorsk,75,RU,1562888378,80,69.19,33.23,41.0,11.18
472,Tabas,5,IR,1562888379,16,33.6,56.92,93.2,6.93
473,Vao,37,EE,1562888380,79,59.1,26.19,45.41,3.04
474,Kananga,85,CD,1562888382,51,-5.9,22.41,70.07,1.81
475,Zeya,7,RU,1562888383,44,53.74,127.27,77.09,3.49
476,Yumen,0,CN,1562888384,24,40.29,97.04,75.83,5.84
477,Khani,75,GE,1562888385,94,41.96,42.96,73.4,6.93
478,Nador,20,MA,1562888386,83,35.17,-2.93,75.2,3.36
479,Holland,1,US,1562888290,53,42.79,-86.11,75.2,11.41
480,Namibe,44,AO,1562888320,84,-15.19,12.15,64.67,12.86
481,Khalkhal,23,IR,1562888390,51,37.62,48.53,61.25,1.57
482,Wewak,29,PG,1562888391,70,-3.55,143.63,81.59,3.8
483,Sao Felix do Xingu,11,BR,1562888392,66,-6.64,-51.99,74.21,3.38
484,Marsa Matruh,0,EG,1562888393,53,31.35,27.25,77.0,5.82
485,Thyboron,96,DK,1562888395,16,56.7,8.21,60.01,7.11
486,Pisco,0,PE,1562888321,30,-13.71,-76.2,71.6,10.29
487,Guozhen,100,CN,1562888397,97,29.3,113.14,72.59,9.31
488,Gornopravdinsk,40,RU,1562888398,89,60.06,69.92,60.53,3.53
489,Knysna,95,ZA,1562888399,76,-34.04,23.05,57.2,8.05
490,San Sebastian el Grande,75,MX,1562888400,35,20.52,-103.42,84.2,8.05
491,Conceicao do Araguaia,62,BR,1562888402,54,-8.26,-49.26,76.91,2.86
492,Doka,100,SD,1562888403,80,13.52,35.76,75.83,7.92
493,Poum,26,MK,1562888404,81,41.28,20.71,49.91,4.0
494,Vila Velha,40,BR,1562888142,78,-3.71,-38.6,79.0,8.05
495,Tilichiki,93,RU,1562888406,80,60.47,166.1,54.95,6.49
496,Trelew,0,AR,1562888407,53,-43.25,-65.31,45.41,4.61
497,Tura,100,RU,1562888409,80,64.27,100.22,56.57,12.03
498,Phek,100,IN,1562888410,95,25.7,94.46,73.85,1.43
499,Lewistown,40,US,1562888411,54,40.39,-90.15,84.99,9.17
500,Kargat,47,RU,1562888412,84,55.19,80.28,54.59,7.36
501,Inirida,53,CO,1562888413,97,3.87,-67.92,73.13,2.44
502,Doembang Nangbuat,100,TH,1562888415,74,14.85,100.1,79.97,5.03
503,Biak,100,ID,1562888416,96,-0.91,122.88,64.49,5.53
504,Rudnichnyy,39,RU,1562888417,96,59.7,60.29,50.99,4.07
505,Ahome,20,MX,1562888418,52,25.92,-109.18,93.99,20.8
506,Husavik,87,CA,1562888419,46,50.56,-96.99,82.99,11.01
507,Griffith,90,AU,1562888421,87,-34.29,146.06,51.8,12.75
508,Westport,90,US,1562888332,94,41.14,-73.36,77.0,6.93
509,Ariquemes,41,BR,1562888423,60,-9.91,-63.03,75.65,2.21
510,Buta,100,CD,1562888424,98,2.79,24.73,68.45,0.4
511,Ayorou,83,NE,1562888425,44,14.73,0.92,88.25,12.95
512,Curuca,43,BR,1562888427,96,-2.52,-61.06,74.03,0.47
513,Wadi Maliz,0,TN,1562888428,100,36.47,8.55,71.6,3.38
514,The Valley,20,AI,1562888429,69,18.22,-63.06,82.4,9.17
515,Klaksvik,28,FO,1562888430,100,62.23,-6.59,50.0,10.29
516,Onokhoy,10,RU,1562888431,77,51.92,108.05,64.4,2.24
517,Cap Malheureux,20,MU,1562888433,88,-19.98,57.61,68.0,4.7
518,Kinshasa,20,CD,1562888434,73,-4.32,15.31,75.2,4.7
519,Pacific Grove,1,US,1562888174,64,36.62,-121.92,87.8,10.29
520,Listowel,20,CA,1562888322,64,43.73,-80.95,73.99,12.75
521,La Macarena,99,CO,1562888437,96,2.18,-73.79,71.33,1.39
522,Salym,78,RU,1562888438,96,60.06,71.48,62.15,3.15
523,Alice Springs,100,AU,1562888370,45,-23.7,133.88,48.2,3.36
524,Labuhan,2,ID,1562888441,85,-2.54,115.51,75.65,0.85
525,Sedam,100,IN,1562888404,82,17.18,77.28,76.01,8.79
526,Cururupu,12,BR,1562888443,98,-1.82,-44.87,72.05,2.21
527,Cihuatlan,75,MX,1562888444,70,19.24,-104.57,87.8,11.41
528,Maniitsoq,10,GL,1562888446,90,65.42,-52.9,44.33,2.33
529,Lokosovo,96,RU,1562888447,90,61.13,74.84,64.67,12.08
530,Terme,75,TR,1562888448,93,41.21,36.97,66.2,18.34
531,Adrar,12,DZ,1562888449,17,27.87,-0.29,100.4,12.75
532,Qasigiannguit,40,GL,1562888450,81,68.82,-51.19,46.4,4.7
533,Alyangula,100,AU,1562888452,83,-13.85,136.42,75.2,4.7
534,Sao Gabriel da Cachoeira,27,BR,1562888453,88,-0.13,-67.09,73.13,1.23
535,Yarmouth,90,CA,1562888336,67,43.84,-66.12,63.0,10.29
536,Umm Kaddadah,100,SD,1562888455,74,13.6,26.69,74.21,20.69
537,Pochutla,40,MX,1562888456,66,15.74,-96.47,86.0,6.93
538,Tepeojuma,75,MX,1562888457,46,18.72,-98.45,71.6,11.41
539,Barra,1,BR,1562888459,48,-11.09,-43.14,73.31,5.3
540,Abu Dhabi,0,AE,1562888182,70,24.47,54.37,89.6,3.36
541,Carutapera,38,BR,1562888461,88,-1.2,-46.02,76.19,5.88
542,Brumunddal,93,NO,1562888462,66,60.89,10.94,57.99,1.01
543,Casas Grandes,85,MX,1562888464,26,30.15,-110.24,91.13,10.29
544,Rundu,0,NA,1562888465,27,-17.91,19.77,52.25,5.7
545,Agua Verde,40,MX,1562888466,55,22.89,-105.97,89.6,14.99
546,Miri,74,NG,1562888467,94,10.31,9.75,69.35,4.38
547,Atikokan,39,CA,1562888468,47,48.76,-91.62,77.27,6.11
548,Severo-Yeniseyskiy,24,RU,1562888470,54,60.37,93.04,58.37,2.51
549,Podosinovets,97,RU,1562888471,95,60.28,47.06,43.97,1.21
550,Krasnopavlivka,0,UA,1562888472,93,49.15,36.33,52.79,5.32
551,Split,0,HR,1562888473,52,43.51,16.44,70.0,2.24
552,Tromso,0,NO,1562888474,87,69.65,18.96,46.4,3.36
553,Shuangyang,100,CN,1562888476,84,25.0,118.61,81.05,2.1
554,Taonan,100,CN,1562888477,55,45.34,122.78,78.01,1.99
555,Thunder Bay,75,CA,1562888433,53,48.41,-89.26,78.01,10.29
556,Vagur,100,FO,1562888479,90,61.47,-6.81,50.99,13.47
557,Iberia,37,PE,1562888289,59,-11.41,-69.49,75.83,2.53
558,Terekli-Mekteb,66,RU,1562888481,71,44.16,45.87,75.29,3.36
559,Mutare,2,MZ,1562888482,76,-18.97,32.67,46.85,3.94
560,Salta,0,AR,1562888484,77,-24.79,-65.41,62.6,5.82
561,Flinders,75,AU,1562888335,54,-34.58,150.85,62.01,17.22
562,Cabedelo,20,BR,1562888486,88,-6.97,-34.84,75.2,4.7
563,Ahipara,100,NZ,1562888332,84,-35.17,173.16,60.53,21.61
564,Hisar,0,IN,1562888488,48,29.16,75.73,91.31,20.76
565,Alexandria,3,RO,1562888314,82,43.97,25.33,55.85,7.92
566,Grand-Lahou,100,CI,1562888490,94,5.24,-5.0,71.15,2.68
567,Manica,2,MZ,1562888492,76,-18.94,32.88,46.85,3.94
568,Samarai,99,PG,1562888493,71,-10.62,150.67,74.93,10.63
569,Krasnyy Chikoy,0,RU,1562888494,77,50.36,108.75,66.47,2.04
570,Filadelfia,53,PY,1562888495,43,-22.35,-60.04,76.37,8.86
571,Aguie,72,NE,1562888497,62,13.51,7.78,81.59,21.12
